Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (CVSS score),Custom field (CVSS vector),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Develop notifications for successful enrollment,COUR-23,10189,Task,To Do,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:31 AM,07/Dec/24 9:31 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000i7:,,,,,,,,,,,,,,,,,,10178,Enrollment process,To Do,07/Dec/24 9:31 AM
Validate enrollment criteria,COUR-22,10188,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:31 AM,07/Dec/24 9:31 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000hz:,,,,,,,,,,,,,,,,,,10178,Enrollment process,In Progress,07/Dec/24 9:31 AM
Create course enrollment form,COUR-21,10187,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:31 AM,07/Dec/24 9:31 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000hr:,,,,,,,,,,,,,,,,,,10178,Enrollment process,In Progress,07/Dec/24 9:31 AM
Implement role-based permissions,COUR-20,10186,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:30 AM,07/Dec/24 9:30 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000hj:,,,,,,,,,,,,,,,,,,10177,Course Management,In Progress,07/Dec/24 9:30 AM
"Create roles: Admin, Instructor, Student",COUR-19,10185,Task,Done,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,Done,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:29 AM,07/Dec/24 9:30 AM,07/Dec/24 11:42 AM,07/Dec/24 9:30 AM,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000hb:,,,,,,,,,,,,,,,10139_*:*_1_*:*_20908_*|*_10141_*:*_1_*:*_0,,,10177,Course Management,Done,07/Dec/24 9:30 AM
Add email verification functionality,COUR-18,10184,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:29 AM,07/Dec/24 9:30 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000h3:,,,,,,,,,,,,,,,,,,10177,Course Management,In Progress,07/Dec/24 9:30 AM
Implement backend authentication logic,COUR-17,10183,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:29 AM,07/Dec/24 9:30 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000gv:,,,,,,,,,,,,,,,,,,10177,Course Management,In Progress,07/Dec/24 9:30 AM
Design UI for registration and login pages,COUR-16,10182,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:29 AM,07/Dec/24 9:30 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000gn:,,,,,,,,,,,,,,,,,,10177,Course Management,In Progress,07/Dec/24 9:30 AM
Testing and QA,COUR-15,10181,Epic,To Do,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:22 AM,07/Dec/24 9:36 AM,07/Dec/24 9:36 AM,,21/Dec/24 12:00 AM,0,"This epic involves conducting various tests such as usability, performance, cross-browser, and device compatibility testing. It covers both manual and automated testing to ensure the application meets functional and non-functional requirements.",,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i000gf:,,,,08/Dec/24 12:00 AM,,,,,,,,,,,,,,,,To Do,07/Dec/24 9:22 AM
Course Process Tracking,COUR-14,10180,Epic,To Do,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Harmanpreet Singh,712020:19801315-4e26-4e83-8396-5808470fe500,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:21 AM,07/Dec/24 9:34 AM,07/Dec/24 9:33 AM,,28/Dec/24 12:00 AM,0,"This epic covers features related to tracking and displaying course progress for students and instructors. It includes progress dashboards, completion status, assessment tracking, and generating performance reports.",,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},ghx-label-5,,,,,dark_teal,,,,,0|i000g7:,,,,05/Dec/24 12:00 AM,,,,,,,,,,,,,,,,To Do,07/Dec/24 9:21 AM
Payment Gateway,COUR-13,10179,Epic,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:21 AM,07/Dec/24 9:33 AM,07/Dec/24 9:34 AM,,30/Dec/24 12:00 AM,0,"This epic focuses on integrating a secure payment gateway to process course fees. It includes payment methods, transaction tracking, payment confirmations, and error handling during transactions.",,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},ghx-label-3,,,,,yellow,,,,,0|i000fz:,,,,27/Nov/24 12:00 AM,,,,,,,,,,,,,,,,In Progress,07/Dec/24 9:23 AM
Enrollment process,COUR-12,10178,Epic,Done,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,Done,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:21 AM,07/Dec/24 9:26 AM,07/Dec/24 9:30 AM,07/Dec/24 9:23 AM,16/Dec/24 12:00 AM,0,"This epic covers the entire course enrollment process, from students applying for courses to instructors approving enrollment requests. It includes notifications, waiting lists, and enrollment status tracking.",,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},ghx-label-11,,,,,teal,,,,,0|i000fr:,,,,03/Dec/24 12:00 AM,,,,,,,,,,,10139_*:*_1_*:*_128572_*|*_10141_*:*_1_*:*_0,,,,,Done,07/Dec/24 9:23 AM
Course Management,COUR-11,10177,Epic,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Harmanpreet Singh,712020:19801315-4e26-4e83-8396-5808470fe500,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:21 AM,07/Dec/24 9:26 AM,07/Dec/24 9:28 AM,,30/Dec/24 12:00 AM,0,"This epic involves creating and managing courses, including adding course details, managing course categories, and maintaining the course catalog. It also covers the course display interface for students and administrators",,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},ghx-label-6,,,,,green,,,,,0|i000fj:,,,,01/Dec/24 12:00 AM,,,,,,,,,,,,,,,,In Progress,07/Dec/24 9:23 AM
User Management,COUR-10,10176,Epic,To Do,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:20 AM,07/Dec/24 9:25 AM,07/Dec/24 9:37 AM,,23/Dec/24 12:00 AM,0,"This epic focuses on building user-related features such as registration, login, and role-based access control. It includes creating secure authentication mechanisms, user profiles, and assigning roles like Admin, Instructor, and Student with appropriate permissions",,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},ghx-label-10,,,,,blue,,,,,0|i000fb:,,,,08/Dec/24 12:00 AM,,,,,,,,,,,,,,,,To Do,07/Dec/24 9:20 AM
Develop search and filter options,COUR-9,10175,Task,To Do,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Sahilpreet Singh,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:19 AM,07/Dec/24 9:39 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000f3:,,,COUR Sprint 1,,,,,,,,,,,,,,,,,To Do,07/Dec/24 9:19 AM
Develop backend logic to store course data,COUR-8,10174,Task,To Do,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Harmanpreet Singh,712020:19801315-4e26-4e83-8396-5808470fe500,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:19 AM,07/Dec/24 9:39 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000ev:,,,COUR Sprint 1,,,,,,,,,,,,,,,,,To Do,07/Dec/24 9:19 AM
Integration and Testing,COUR-7,10173,Task,To Do,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:15 AM,07/Dec/24 9:39 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000en:,,,COUR Sprint 1,,,,,,,,,,,,,,,,,To Do,07/Dec/24 9:15 AM
Define Database Schema,COUR-6,10172,Task,Done,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,Done,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:14 AM,07/Dec/24 9:39 AM,07/Dec/24 11:42 AM,07/Dec/24 9:20 AM,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000ef:,,,COUR Sprint 1,,,,,,,,,,,,10139_*:*_1_*:*_311744_*|*_10141_*:*_1_*:*_0,,,,,Done,07/Dec/24 9:20 AM
Design the course creation form.,COUR-5,10171,Task,To Do,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Harmanpreet Singh,712020:19801315-4e26-4e83-8396-5808470fe500,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:14 AM,07/Dec/24 9:39 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000e7:,,,COUR Sprint 1,,,,,,,,,,,,,,,,,To Do,07/Dec/24 9:14 AM
"Develop logic for role-based UI rendering.
",COUR-4,10170,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:14 AM,07/Dec/24 9:39 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000dz:,,,COUR Sprint 1,,,,,,,,,,,,,,,,,In Progress,07/Dec/24 9:20 AM
Create roles and permissions matrix,COUR-3,10169,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:14 AM,07/Dec/24 9:39 AM,07/Dec/24 11:40 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000dr:,,,COUR Sprint 1,,,,,,,,,,,,,,,,,In Progress,07/Dec/24 9:19 AM
Integrate authentication API.,COUR-2,10168,Task,Done,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,Done,Sahilpreet Singh,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:13 AM,07/Dec/24 9:39 AM,07/Dec/24 11:42 AM,07/Dec/24 9:19 AM,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000dj:,,,COUR Sprint 1,,,,,,,,,,,,10139_*:*_1_*:*_354944_*|*_10141_*:*_1_*:*_0,,,,,Done,07/Dec/24 9:19 AM
Design the registration and login UI,COUR-1,10167,Task,To Do,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:13 AM,07/Dec/24 9:38 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000db:,,,COUR Sprint 1,,,,,,,,,,,,,,,,,To Do,07/Dec/24 9:13 AM
Test Input Validation,MPT-9,10166,Story,In Progress,MPT,Mortgage Prequalification Tool,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 7:59 AM,07/Dec/24 8:01 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000d3:,,,,,,,,,,,,,,,,,,10158,Mortgage Prequalification Calculator.,In Progress,07/Dec/24 8:01 AM
